title;Domestic Gross;Worldwide Gross;Release Date
500 Days of Summer;32391374;34439764;07/17/2009
Adore;302020;837034;09/06/2013
All Is Bright;4556;4556;10/04/2013
Bloody Sunday;773228;773228;10/04/2002
Brüno;60054530;138708527;07/10/2009
Carriers;104352;6808883;9/4/2009
Déjà Vu;821997;6321997;4/22/1998
Good Kill;317072;703380;5/15/2015
Hackers;7487370;7487370;9/15/1995
Halloween II;33392973;38512850;1/12/2010
Indignation;3401155;3608849;7/29/2016
Mean Streets;32645;32645;10/2/1973
Our Kind of Traitor;3153157;6883899;7/1/2016
Shanghai Calling;10443;10443;2/15/2013
Slow West;229094;1393329;5/15/2015
Supercapitalist;15919;15919;8/10/2012
The Best Offer;88719;88719;1/3/2014
The Bounty;8613462;8613462;5/4/1984
The Bubble;157121;157121;9/7/2007
The Cure;2513250;2513250;4/21/1995
The Edge;27799255;34099255;9/26/1997
The Prophecy;16091660;16091660;9/1/1995
The Wailing;786633;51261551;5/20/2016
The Wraith;3500000;3500000;11/21/1986
Trading Places;90400000;90400000;6/8/1983
