index;budget_index
1723;1856
2845;3055
1626;1752
970;1046
4562;4872
2875;3062
3363;3611
4640;4971
3400;3649
2446;2628
61;62
4897;5243
4591;4912
1899;2043
1267;1348
4056;4350
3703;3973
3593;3048
4659;4990
3367;3615
889;965
4408;3224
373;415
2386;2564
882;955
3546;3801
4511;4827
3423;3672
3449;3701
1250;1351
3346;3587
264;299
2233;3795
1298;3306
2813;3018
4206;4507
4046;4338
4938;5285
503;552
932;1008
1684;1812
3190;3425
596;651
2621;2802
924;998
601;650
495;544
2929;3142
4172;4454
2623;2807
3662;3923
2118;2276
892;970
1501;1623
2324;2492
2394;2570
986;1065
3093;3316
1562;1685
3943;4229
4904;5250
4393;4707
911;987
3209;3444
4654;4985
4815;5126
4144;4443
3856;4136
2074;2226
4921;5270
4857;5202
4029;4321
3009;3227
2338;2509
2072;2225
4055;4346
2298;2467
1642;1756
2327;2493
2274;2437
953;1024
2862;3070
2766;2969
4541;4860
1129;1226
4671;4999
365;409
2735;2930
1804;1943
3610;3868
4501;4818
2829;3032
572;626
1646;1776
700;754
1564;1687
1702;1839
829;899
4576;4898
4103;4398
3080;3301
1056;1145
4089;4382
3875;4161
804;865
4360;4677
3553;3807
2919;3124
1235;1328
1953;2100
3862;4146
1269;1368
1022;1104
480;4532
222;256
1295;1391
2822;3028
1303;1408
4750;5086
3318;3561
4653;4979
3087;3196
4228;4533
4229;4535
4169;4467
4518;4836
921;995
4247;4551
2801;3003
157;188
2532;2720
3953;4238
4318;4625
789;858
843;916
1787;1926
3561;3815
4219;4516
717;784
282;317
3576;3829
2778;2979
2832;3038
3477;3726
3608;3864
4184;4483
1608;1731
175;206
3690;3954
3016;3132
964;1038
2493;1265
1858;1997
2120;2267
1706;1838
2479;2664
3494;3744
233;269
2964;3181
1376;1484
2047;2195
117;139
3189;3420
968;1044
2365;2539
3997;4285
2894;3089
4974;5332
4862;5206
3819;4100
4424;4743
2319;2487
2890;3097
3696;3966
3115;3322
3705;3974
256;287
1398;1505
4008;4295
3267;3508
3030;3252
4065;4353
2066;2217
2119;2279
458;506
4091;4384
1049;1136
1100;1190
855;929
858;932
2721;2919
2014;2158
3859;4140
2387;2561
379;420
2339;2511
658;712
3522;3774
1296;1400
3864;4143
4589;4911
2007;2156
701;755
1974;2124
475;524
2659;2854
1688;1793
4853;5198
2476;2662
2179;2335
4814;5155
4024;4311
1823;1962
4060;4354
2113;2273
152;182
2734;2932
3486;3736
3930;4216
155;172
135;146
220;253
4398;4711
2125;2283
2451;2632
903;981
3860;4137
1681;1809
255;283
863;930
2285;2452
2036;2189
5042;5402
3427;3673
4429;4746
3344;3594
1464;1571
4471;4785
3377;3626
4556;4875
3883;4163
4415;4734
4286;4593
1324;1432
4838;5180
1907;2053
3729;4005
3772;4048
3250;3478
4587;4910
3152;3351
4349;4666
2740;2940
3316;3563
1788;1928
3840;4120
4664;4994
2551;2740
1263;1364
1838;1975
5025;5383
5009;5365
1143;1228
1037;1112
2039;2193
1521;1625
3230;3469
1517;1639
3096;3324
51;54
2323;2491
2242;2402
4796;5137
733;794
2183;2346
1506;1628
3067;3286
2757;2960
1609;1733
4375;4689
2982;3194
2758;2961
3855;4135
2497;2683
2210;2376
424;472
1864;1998
4747;5077
1227;1326
471;521
4998;5353
4155;4448
2057;2209
2133;2289
2373;2552
1342;1448
1824;1950
240;271
237;273
236;272
3024;3246
2051;2200
1536;1659
2478;2663
2951;3170
4303;4604
4780;5122
874;951
4120;4415
2295;2460
3886;4165
4928;5281
2914;3121
3177;3412
109;128
3438;3688
1834;1972
989;1067
4488;4787
2737;2933
2355;2527
3759;4032
4802;5142
4455;4768
3386;3636
2906;3111
4903;5251
4461;4778
3222;3458
3677;3938
5027;2608
4039;4327
1196;1290
2893;3103
1328;1436
1635;1754
827;897
2802;3005
327;364
4498;4808
3255;3468
1344;1444
2992;3205
4366;4680
4450;4767
1505;1627
2988;3207
1002;1083
4033;4309
4505;4821
4328;4640
5001;5356
3002;3220
4259;4562
1284;1387
548;599
2743;2942
2053;2202
3837;4118
2655;2851
2332;2499
3916;4200
1669;1801
1121;1213
1720;432
3659;3919
4523;4835
3178;3395
730;770
2830;3036
4499;4816
4000;4289
1602;616
4873;5215
2439;2621
292;300
4936;3518
1359;1468
4248;4529
4263;4568
187;198
3059;3279
2460;2645
2879;3086
4932;5284
3568;3823
172;201
646;704
1466;1587
2510;2700
2736;2934
2361;2542
1430;1530
4216;4522
741;808
1546;1666
2205;2372
2719;2916
4175;4471
2308;2476
1933;2080
1559;1674
4368;4681
4007;4294
2499;50
3792;4069
4826;5168
3312;3556
4379;4694
1432;1547
1309;1411
1149;1242
4201;4501
3594;3852
494;539
607;663
58;74
1798;1935
4804;1525
3904;4190
2707;2903
2635;2830
3405;3653
2541;2731
4829;5171
2812;3017
210;236
790;859
3740;4013
371;408
682;744
